idema,fint,ta,lat,lon,alt
4340,2025-05-29T03:00:00+0000,18.8,39.10346,-5.461334,313.0
4347X,2025-05-29T03:00:00+0000,25.3,39.28278,-5.710276,413.0
4358X,2025-05-29T03:00:00+0000,21.8,38.95559,-5.880481,273.0
4362X,2025-05-29T03:00:00+0000,18.3,38.576492,-5.845813,474.1
4386B,2025-05-29T03:00:00+0000,24.3,38.23171,-6.017048,655.0
4395X,2025-05-29T03:00:00+0000,19.6,38.551666,-6.306664,430.0
4410X,2025-05-29T03:00:00+0000,20.4,38.915882,-6.385632,228.0
4411C,2025-05-29T03:00:00+0000,22.2,39.197636,-6.231012,467.0
4427X,2025-05-29T03:00:00+0000,16.8,38.425854,-6.436641,433.0
4436Y,2025-05-29T03:00:00+0000,20.7,38.688904,-6.361046,371.0
4452,2025-05-29T03:00:00+0000,19.5,38.883396,-6.81389,185.5
4464X,2025-05-29T03:00:00+0000,15.4,39.181934,-6.995182,283.0
4468X,2025-05-29T03:00:00+0000,16.9,39.176624,-6.600769,392.0
4478X,2025-05-29T03:00:00+0000,17.3,38.886204,-7.00948,173.7
4486X,2025-05-29T03:00:00+0000,20.7,38.697502,-7.084439,275.0
4489X,2025-05-29T03:00:00+0000,19.2,38.48472,-7.28194,170.0
4492F,2025-05-29T03:00:00+0000,15.9,38.47278,-6.923333,377.0
4497X,2025-05-29T03:00:00+0000,20.6,38.37222,-7.158056,247.0
4499X,2025-05-29T03:00:00+0000,20.1,38.081295,-6.271862,771.0
4501X,2025-05-29T03:00:00+0000,23.0,38.20874,-6.311317,602.0
4511C,2025-05-29T03:00:00+0000,18.1,38.298515,-6.765058,381.0
4520X,2025-05-29T03:00:00+0000,13.1,38.178436,-6.661793,586.0
4527X,2025-05-29T03:00:00+0000,15.0,37.98028,-6.975941,267.0
4541X,2025-05-29T03:00:00+0000,17.3,37.553658,-7.51994,60.0
4549Y,2025-05-29T03:00:00+0000,18.8,37.194607,-7.394971,2.63
4554X,2025-05-29T03:00:00+0000,18.0,37.218334,-7.08361,15.0
4560Y,2025-05-29T03:00:00+0000,21.0,37.868614,-6.674999,572.0
4575X,2025-05-29T03:00:00+0000,23.8,37.575348,-6.767767,280.4
4584X,2025-05-29T03:00:00+0000,24.6,37.73158,-6.942237,270.0
4589X,2025-05-29T03:00:00+0000,21.4,37.597782,-7.11944,276.0
4608X,2025-05-29T03:00:00+0000,23.6,37.677227,-6.630003,415.0
4622X,2025-05-29T03:00:00+0000,19.9,37.450836,-6.636671,145.0
4642E,2025-05-29T03:00:00+0000,18.9,37.27841,-6.911696,17.59
5000C,2025-05-29T03:00:00+0000,19.5,35.888725,-5.346967,87.0
5038Y,2025-05-29T03:00:00+0000,22.6,37.915836,-3.003891,799.0
5047E,2025-05-29T03:00:00+0000,13.3,37.50583,-2.734995,785.0
5051X,2025-05-29T03:00:00+0000,14.8,37.86139,-2.652778,1100.5
5060X,2025-05-29T03:00:00+0000,17.3,37.860832,-2.228056,1190.0
5103E,2025-05-29T03:00:00+0000,14.3,37.158333,-3.256944,2151.69
5103F,2025-05-29T03:00:00+0000,16.0,37.19103,-3.254022,1534.04
5107D,2025-05-29T03:00:00+0000,20.0,37.179935,-2.986406,1197.0
5112X,2025-05-29T03:00:00+0000,15.9,37.311943,-3.129722,916.5
5164B,2025-05-29T03:00:00+0000,22.6,37.99667,-3.461951,771.0
5165X,2025-05-29T03:00:00+0000,20.5,37.78084,-3.563581,910.0
5210X,2025-05-29T03:00:00+0000,18.4,38.175,-2.998059,680.0
5246,2025-05-29T03:00:00+0000,20.5,38.344448,-3.535273,770.0
5270B,2025-05-29T03:00:00+0000,22.9,37.7775,-3.809167,580.0
5279X,2025-05-29T03:00:00+0000,23.3,38.151108,-3.629453,515.0
5281X,2025-05-29T03:00:00+0000,21.9,38.092983,-3.782624,345.0
5298X,2025-05-29T03:00:00+0000,18.5,38.023052,-4.063333,202.0
5304Y,2025-05-29T03:00:00+0000,19.0,38.668888,-4.059165,665.0
5341C,2025-05-29T03:00:00+0000,15.5,38.428886,-4.301663,710.0
5346X,2025-05-29T03:00:00+0000,20.2,38.186672,-4.272506,720.0
5361X,2025-05-29T03:00:00+0000,15.8,38.01333,-4.330275,155.0
5390Y,2025-05-29T03:00:00+0000,19.4,38.333057,-4.608886,750.0
5394X,2025-05-29T03:00:00+0000,18.7,38.020836,-4.796664,525.0
5402,2025-05-29T03:00:00+0000,15.5,37.848892,-4.846558,90.0
5406X,2025-05-29T03:00:00+0000,19.2,37.49749,-3.908059,908.0
5412X,2025-05-29T03:00:00+0000,18.0,37.48473,-4.207785,550.0
5427X,2025-05-29T03:00:00+0000,23.1,37.556114,-4.353893,650.0
5429X,2025-05-29T03:00:00+0000,20.4,37.81039,-4.462227,275.0
5459X,2025-05-29T03:00:00+0000,14.2,38.11111,-4.928728,465.0
5470,2025-05-29T03:00:00+0000,19.2,37.753056,-5.100552,120.0
5473X,2025-05-29T03:00:00+0000,21.2,38.267803,-5.686015,581.0
5511,2025-05-29T03:00:00+0000,7.6,37.064445,-3.371389,3091.67
5514Z,2025-05-29T03:00:00+0000,16.2,37.13611,-3.633331,695.0
5515D,2025-05-29T03:00:00+0000,21.2,37.236942,-3.550556,1258.0
5515X,2025-05-29T03:00:00+0000,19.0,37.18972,-3.59555,775.0
5516D,2025-05-29T03:00:00+0000,9.6,37.063057,-3.386944,2856.0
5530E,2025-05-29T03:00:00+0000,14.4,37.190292,-3.789774,560.12
5582A,2025-05-29T03:00:00+0000,20.0,37.16111,-4.152781,760.0
5598X,2025-05-29T03:00:00+0000,21.6,37.23093,-4.547788,465.0
5612B,2025-05-29T03:00:00+0000,20.9,37.194443,-4.769994,410.0
5612X,2025-05-29T03:00:00+0000,24.9,37.270275,-4.82695,450.0
5624X,2025-05-29T03:00:00+0000,20.7,37.481945,-4.685919,309.0
5625X,2025-05-29T03:00:00+0000,16.4,37.638523,-4.763865,200.0
5641X,2025-05-29T03:00:00+0000,18.6,37.516228,-5.085113,130.0
5654X,2025-05-29T03:00:00+0000,12.4,37.786804,-5.37114,200.0
5656,2025-05-29T03:00:00+0000,20.4,37.497223,-5.433058,165.0
5702X,2025-05-29T03:00:00+0000,19.2,37.565483,-5.740475,50.0
5704B,2025-05-29T03:00:00+0000,14.1,37.926388,-5.769728,550.0
5726X,2025-05-29T03:00:00+0000,20.2,38.099445,-5.81917,720.0
5733X,2025-05-29T03:00:00+0000,20.0,37.791115,-6.074995,450.0
5769X,2025-05-29T03:00:00+0000,17.1,37.97361,-6.322225,618.0
5783,2025-05-29T03:00:00+0000,21.1,37.416668,-5.879167,34.0
5788X,2025-05-29T03:00:00+0000,22.6,37.361668,-6.059722,84.0
5790Y,2025-05-29T03:00:00+0000,22.3,37.36425,-6.005918,9.0
5796,2025-05-29T03:00:00+0000,19.8,37.164528,-5.611474,87.0
5835X,2025-05-29T03:00:00+0000,19.0,37.36,-6.334168,76.0
5858X,2025-05-29T03:00:00+0000,18.1,36.988552,-6.443024,5.0
5860E,2025-05-29T03:00:00+0000,22.7,37.097942,-6.738088,41.0
5891X,2025-05-29T03:00:00+0000,21.7,36.95334,-5.846666,105.0
5906X,2025-05-29T03:00:00+0000,21.6,36.75,-6.400558,10.0
5910X,2025-05-29T03:00:00+0000,22.5,36.638878,-6.332591,21.0
5911A,2025-05-29T03:00:00+0000,,36.76044,-5.37403,913.0
5919X,2025-05-29T03:00:00+0000,22.4,36.931667,-5.259446,530.0
5941X,2025-05-29T03:00:00+0000,25.7,36.729446,-5.512225,295.0
5950X,2025-05-29T03:00:00+0000,26.6,36.663887,-5.783332,105.0
5960,2025-05-29T03:00:00+0000,18.4,36.750496,-6.055857,27.0
5972X,2025-05-29T03:00:00+0000,24.4,36.465557,-6.205557,28.0
5973,2025-05-29T03:00:00+0000,24.7,36.49972,-6.257861,2.0
5983X,2025-05-29T03:00:00+0000,22.7,36.406113,-5.920278,70.0
5995B,2025-05-29T03:00:00+0000,22.5,36.245556,-5.965005,186.0
5996B,2025-05-29T03:00:00+0000,23.6,36.184723,-5.909444,4.0
5998X,2025-05-29T03:00:00+0000,25.4,37.243336,-5.112503,255.0
6000A,2025-05-29T03:00:00+0000,19.6,35.276325,-2.95638,52.0
6001,2025-05-29T03:00:00+0000,19.6,36.013985,-5.59883,32.0
6032X,2025-05-29T03:00:00+0000,23.5,36.749996,-5.168615,760.0
6040X,2025-05-29T03:00:00+0000,15.5,36.54445,-5.386393,315.0
6042I,2025-05-29T03:00:00+0000,13.3,36.435608,-5.394945,42.0
6045X,2025-05-29T03:00:00+0000,23.3,36.6325,-5.20306,676.0
6050X,2025-05-29T03:00:00+0000,22.5,36.51861,-5.318613,594.0
6056X,2025-05-29T03:00:00+0000,15.9,36.273056,-5.284446,1.0
6057X,2025-05-29T03:00:00+0000,20.2,36.378334,-5.26,140.0
6058I,2025-05-29T03:00:00+0000,20.7,36.416954,-5.154988,19.0
6069X,2025-05-29T03:00:00+0000,20.3,36.543613,-5.024724,392.0
6076X,2025-05-29T03:00:00+0000,22.4,36.484444,-4.953051,2.0
6083X,2025-05-29T03:00:00+0000,22.2,36.483334,-4.740278,2.0
6084X,2025-05-29T03:00:00+0000,,36.538494,-4.618209,8.0
6088X,2025-05-29T03:00:00+0000,20.4,36.620556,-4.514998,85.0
6100B,2025-05-29T03:00:00+0000,25.5,37.02361,-4.562222,515.0
6106X,2025-05-29T03:00:00+0000,23.0,37.029446,-4.748339,408.0
6127X,2025-05-29T03:00:00+0000,17.8,36.854725,-4.69667,172.0
6143X,2025-05-29T03:00:00+0000,18.6,36.65778,-4.760827,230.0
6155A,2025-05-29T03:00:00+0000,18.6,36.66612,-4.482307,6.54
6156X,2025-05-29T03:00:00+0000,18.0,36.717785,-4.48167,54.0
6172O,2025-05-29T03:00:00+0000,21.3,36.716663,-4.41972,25.0
6172X,2025-05-29T03:00:00+0000,21.5,36.716663,-4.41972,25.0
6175X,2025-05-29T03:00:00+0000,,36.715046,-4.286128,7.0
6199X,2025-05-29T03:00:00+0000,19.2,36.768612,-4.093611,41.0
6201X,2025-05-29T03:00:00+0000,18.0,36.755836,-4.043892,35.0
6205X,2025-05-29T03:00:00+0000,19.1,36.726383,-3.95722,3.0
6213X,2025-05-29T03:00:00+0000,19.4,36.762775,-3.845275,169.0
6248D,2025-05-29T03:00:00+0000,15.7,36.95222,-3.430278,1732.11
6258X,2025-05-29T03:00:00+0000,15.8,36.923058,-3.4925,708.0
6267X,2025-05-29T03:00:00+0000,16.2,36.748337,-3.578623,20.0
6268Y,2025-05-29T03:00:00+0000,18.5,36.72401,-3.529267,3.0
6272X,2025-05-29T03:00:00+0000,19.4,36.7343,-3.380008,235.0
6277B,2025-05-29T03:00:00+0000,21.0,36.74718,-3.020578,8.0
6281X,2025-05-29T03:00:00+0000,22.0,37.005383,-3.071395,1020.0
6291B,2025-05-29T03:00:00+0000,19.9,36.77472,-2.81305,98.0
6293X,2025-05-29T03:00:00+0000,17.4,36.68694,-2.701667,3.0
6299I,2025-05-29T03:00:00+0000,11.2,37.095833,-2.964444,2300.27
6302A,2025-05-29T03:00:00+0000,17.5,37.141388,-2.780005,869.0
6307C,2025-05-29T03:00:00+0000,16.6,37.052998,-2.897216,1713.43
6307X,2025-05-29T03:00:00+0000,18.3,37.03321,-2.912377,1510.0
6312E,2025-05-29T03:00:00+0000,21.6,37.020943,-2.677185,601.13
6325O,2025-05-29T03:00:00+0000,19.7,36.846344,-2.356931,21.0
6329X,2025-05-29T03:00:00+0000,21.2,36.721947,-2.193056,42.0
6332Y,2025-05-29T03:00:00+0000,19.9,36.942223,-1.906944,222.0
6335O,2025-05-29T03:00:00+0000,19.4,37.109932,-2.699181,969.93
6340X,2025-05-29T03:00:00+0000,15.9,37.178932,-1.816589,7.0
6364X,2025-05-29T03:00:00+0000,19.8,37.40659,-2.151523,508.0
6367B,2025-05-29T03:00:00+0000,16.7,37.390556,-1.943609,300.0
6375X,2025-05-29T03:00:00+0000,21.7,37.132343,-4.742002,420.0
7002Y,2025-05-29T03:00:00+0000,19.4,37.41724,-1.586878,32.0
7007Y,2025-05-29T03:00:00+0000,18.2,37.588055,-1.230556,66.0
7012C,2025-05-29T03:00:00+0000,19.5,37.601116,-0.987775,17.0
7012D,2025-05-29T03:00:00+0000,17.9,37.604443,-1.023333,55.61
7019X,2025-05-29T03:00:00+0000,20.2,37.635834,-0.715556,2.5
7023X,2025-05-29T03:00:00+0000,17.2,37.72648,-1.167175,140.0
7026X,2025-05-29T03:00:00+0000,16.8,37.738884,-0.967505,50.0
7031X,2025-05-29T03:00:00+0000,,37.77833,-0.805916,4.0
7066Y,2025-05-29T03:00:00+0000,,38.393333,-2.218889,680.0
7067Y,2025-05-29T03:00:00+0000,9.7,38.08842,-2.412981,1485.0
7072Y,2025-05-29T03:00:00+0000,17.0,38.294994,-2.293887,960.0
7080X,2025-05-29T03:00:00+0000,17.2,38.268337,-1.986391,955.0
7096B,2025-05-29T03:00:00+0000,16.7,38.541992,-1.70294,604.57
7103Y,2025-05-29T03:00:00+0000,16.9,38.58806,-1.68944,615.0
7119B,2025-05-29T03:00:00+0000,13.5,38.10313,-1.877167,643.0
7121A,2025-05-29T03:00:00+0000,17.2,38.234165,-1.702227,350.0
7127X,2025-05-29T03:00:00+0000,16.9,38.0492,-1.695334,690.0
7138B,2025-05-29T03:00:00+0000,14.7,38.458885,-1.335282,485.0
7145D,2025-05-29T03:00:00+0000,16.4,38.23279,-1.380598,265.0
7158X,2025-05-29T03:00:00+0000,17.6,38.128056,-1.305839,150.0
7172X,2025-05-29T03:00:00+0000,15.4,38.041386,-1.449172,255.0
7178I,2025-05-29T03:00:00+0000,18.3,38.002003,-1.170836,61.84
7195X,2025-05-29T03:00:00+0000,14.8,37.926003,-2.058228,985.0
7203A,2025-05-29T03:00:00+0000,15.3,37.8447,-1.869755,646.0
7209,2025-05-29T03:00:00+0000,17.8,37.65484,-1.687314,312.0
7211B,2025-05-29T03:00:00+0000,17.8,37.56805,-1.797223,445.0
7218Y,2025-05-29T03:00:00+0000,17.6,37.758556,-1.5127,281.0
7227X,2025-05-29T03:00:00+0000,15.5,37.86167,-1.334725,157.0
7237E,2025-05-29T03:00:00+0000,15.7,38.13889,-1.158615,170.0
7244X,2025-05-29T03:00:00+0000,17.5,38.0678,-0.981414,26.0
7247X,2025-05-29T03:00:00+0000,13.8,38.399586,-1.037968,575.0
7250C,2025-05-29T03:00:00+0000,15.3,38.19439,-1.033817,174.0
7261X,2025-05-29T03:00:00+0000,17.5,38.088036,-0.715258,31.0
7275C,2025-05-29T03:00:00+0000,15.2,38.601795,-1.159669,640.0
8005X,2025-05-29T03:00:00+0000,11.4,38.779987,-0.795955,622.0
8008Y,2025-05-29T03:00:00+0000,10.9,38.57697,-0.865595,486.0
8013X,2025-05-29T03:00:00+0000,17.4,38.385628,-0.757713,233.0
8018X,2025-05-29T03:00:00+0000,15.0,38.287434,-0.680643,110.0
8019,2025-05-29T03:00:00+0000,17.4,38.28278,-0.57083,43.0
8025,2025-05-29T03:00:00+0000,18.4,38.3725,-0.494167,80.66
8036Y,2025-05-29T03:00:00+0000,16.3,38.543655,-0.137786,35.6
8050X,2025-05-29T03:00:00+0000,15.4,38.78417,0.166667,15.0
8057C,2025-05-29T03:00:00+0000,19.4,38.846737,-0.118261,60.0
8058Y,2025-05-29T03:00:00+0000,18.8,38.9503,-0.137697,12.0
8059C,2025-05-29T03:00:00+0000,18.6,38.71092,-0.460071,530.0
8072Y,2025-05-29T03:00:00+0000,15.0,39.016937,-0.304725,340.0
8096,2025-05-29T03:00:00+0000,17.0,40.067223,-2.131944,948.52
8155Y,2025-05-29T03:00:00+0000,14.7,39.55528,-1.915278,830.0
8175,2025-05-29T03:00:00+0000,15.3,38.954166,-1.856389,702.0
8177A,2025-05-29T03:00:00+0000,18.1,38.9376,-1.658812,880.0
8178D,2025-05-29T03:00:00+0000,17.1,39.005577,-1.862335,674.11
8191Y,2025-05-29T03:00:00+0000,16.8,39.198746,-1.435505,680.0
8193E,2025-05-29T03:00:00+0000,15.7,39.208416,-1.094403,372.0
8198Y,2025-05-29T03:00:00+0000,12.8,38.85055,-1.063051,710.0
8203O,2025-05-29T03:00:00+0000,20.9,39.082893,-1.100833,855.0
8210Y,2025-05-29T03:00:00+0000,10.6,40.103096,-1.503605,1160.0
8245Y,2025-05-29T03:00:00+0000,11.9,39.714375,-1.442571,815.0
8270X,2025-05-29T03:00:00+0000,16.3,39.13361,-0.79,305.0
8283X,2025-05-29T03:00:00+0000,16.5,38.82944,-0.607676,350.0
8293X,2025-05-29T03:00:00+0000,18.6,39.001667,-0.523056,88.0
8300X,2025-05-29T03:00:00+0000,17.7,39.11338,-0.445908,25.0
8309X,2025-05-29T03:00:00+0000,15.4,39.575455,-1.244795,758.0
8325X,2025-05-29T03:00:00+0000,16.8,39.184723,-0.371947,12.0
8337X,2025-05-29T03:00:00+0000,14.7,39.39214,-0.624616,186.0
8354X,2025-05-29T03:00:00+0000,11.4,40.41972,-1.44139,1130.0
8368U,2025-05-29T03:00:00+0000,12.3,40.350716,-1.124132,901.67
8376,2025-05-29T03:00:00+0000,14.8,40.236115,-1.411672,1430.0
8381X,2025-05-29T03:00:00+0000,13.3,40.06056,-1.283573,705.0
8395X,2025-05-29T03:00:00+0000,16.5,39.75333,-0.993611,515.0
8409X,2025-05-29T03:00:00+0000,17.3,39.66401,-0.653993,198.0
8414A,2025-05-29T03:00:00+0000,18.5,39.485016,-0.474677,55.9
8416X,2025-05-29T03:00:00+0000,18.4,39.479443,-0.337222,6.0
8416Y,2025-05-29T03:00:00+0000,19.2,39.480556,-0.366387,11.0
8439X,2025-05-29T03:00:00+0000,17.1,39.79555,-0.485282,400.0
8446Y,2025-05-29T03:00:00+0000,16.4,39.700806,-0.258878,24.0
8458X,2025-05-29T03:00:00+0000,8.5,40.430515,-0.849428,1380.0
8472A,2025-05-29T03:00:00+0000,16.7,40.087708,-0.54685,601.0
8486X,2025-05-29T03:00:00+0000,12.7,40.362514,-0.454339,1515.0
8489X,2025-05-29T03:00:00+0000,11.5,40.433216,-0.255675,1130.0
8492X,2025-05-29T03:00:00+0000,14.5,40.227142,-0.169683,420.0
8500A,2025-05-29T03:00:00+0000,20.0,39.95728,-0.071967,43.39
8503Y,2025-05-29T03:00:00+0000,17.7,40.2113,0.18354,35.0
8520X,2025-05-29T03:00:00+0000,15.4,40.693718,0.165221,1165.0
9001D,2025-05-29T03:00:00+0000,9.3,42.991882,-4.160594,870.0
9012E,2025-05-29T03:00:00+0000,12.9,42.951336,-3.95718,915.0
9016X,2025-05-29T03:00:00+0000,8.2,42.809723,-4.032219,770.0
9019B,2025-05-29T03:00:00+0000,8.7,42.806248,-3.933916,720.0
9031C,2025-05-29T03:00:00+0000,9.5,42.559525,-3.30879,730.0
9051,2025-05-29T03:00:00+0000,8.5,42.919903,-3.482685,580.0
9060X,2025-05-29T03:00:00+0000,7.3,42.875217,-3.231729,910.0
9069C,2025-05-29T03:00:00+0000,9.3,42.68716,-2.960608,460.0
9073X,2025-05-29T03:00:00+0000,9.3,42.82983,-2.359745,660.0
9091R,2025-05-29T03:00:00+0000,7.4,42.871933,-2.732913,513.0
9111,2025-05-29T03:00:00+0000,10.2,42.421116,-3.170282,820.0
9115X,2025-05-29T03:00:00+0000,13.6,42.255,-2.968056,1630.0
9121X,2025-05-29T03:00:00+0000,11.3,42.575275,-2.854717,465.0
9122I,2025-05-29T03:00:00+0000,11.4,42.60389,-2.776667,612.0
9136X,2025-05-29T03:00:00+0000,9.8,42.230835,-2.871106,1006.0
9141V,2025-05-29T03:00:00+0000,11.6,42.41403,-2.726758,500.0
9145X,2025-05-29T03:00:00+0000,10.9,42.56724,-2.632837,575.0
9145Y,2025-05-29T03:00:00+0000,13.0,42.48278,-2.63944,429.0
9170,2025-05-29T03:00:00+0000,13.8,42.452343,-2.331024,353.0
9171K,2025-05-29T03:00:00+0000,12.2,42.570415,-2.183774,470.0
9178X,2025-05-29T03:00:00+0000,10.4,42.670654,-2.346127,570.0
9188,2025-05-29T03:00:00+0000,10.4,42.1495,-2.273211,855.0
9195C,2025-05-29T03:00:00+0000,10.9,42.793056,-0.505278,2275.6
9198X,2025-05-29T03:00:00+0000,13.2,42.749527,-0.51604,1197.0
9201X,2025-05-29T03:00:00+0000,11.1,42.579754,-0.545044,832.19
9207,2025-05-29T03:00:00+0000,8.6,42.74066,-0.750538,860.0
9208E,2025-05-29T03:00:00+0000,13.7,42.70861,-0.672778,1025.0
9211F,2025-05-29T03:00:00+0000,12.2,42.514168,-0.817243,722.0
9218A,2025-05-29T03:00:00+0000,6.5,42.8625,-0.924622,838.0
9228J,2025-05-29T03:00:00+0000,9.1,42.89624,-1.300216,635.0
9228T,2025-05-29T03:00:00+0000,8.9,43.007877,-1.325557,947.0
9238X,2025-05-29T03:00:00+0000,6.1,42.7175,-1.117222,612.0
9244X,2025-05-29T03:00:00+0000,11.7,42.490833,-1.213333,626.0
9245X,2025-05-29T03:00:00+0000,12.3,42.52139,-1.366381,440.0
9252X,2025-05-29T03:00:00+0000,14.2,42.489166,-1.655553,390.0
9257X,2025-05-29T03:00:00+0000,10.7,42.970554,-1.516946,615.0
9262P,2025-05-29T03:00:00+0000,11.4,42.70125,-1.49567,585.0
9263D,2025-05-29T03:00:00+0000,10.6,42.77695,-1.649869,459.0
9263X,2025-05-29T03:00:00+0000,10.7,42.7761,-1.532487,572.0
9274X,2025-05-29T03:00:00+0000,9.7,42.918846,-1.835118,432.0
9280B,2025-05-29T03:00:00+0000,11.8,42.549446,-1.857382,375.0
9287A,2025-05-29T03:00:00+0000,6.3,42.02646,-2.230789,1096.0
9293X,2025-05-29T03:00:00+0000,14.8,42.176132,-1.743811,371.3
9294E,2025-05-29T03:00:00+0000,15.1,42.198544,-1.475169,295.0
9299X,2025-05-29T03:00:00+0000,17.3,41.914867,-1.723337,475.0
9301X,2025-05-29T03:00:00+0000,14.3,41.95889,-1.690554,410.0
9302Y,2025-05-29T03:00:00+0000,17.0,42.055557,-1.609444,297.0
9321Y,2025-05-29T03:00:00+0000,13.0,42.134422,-1.132315,344.5
9336D,2025-05-29T03:00:00+0000,14.9,41.984173,-0.995737,543.0
9344C,2025-05-29T03:00:00+0000,12.5,41.216473,-2.292964,863.0
9352A,2025-05-29T03:00:00+0000,10.9,41.574635,-2.140382,1000.0
9354X,2025-05-29T03:00:00+0000,12.6,41.293,-1.895265,703.0
9374X,2025-05-29T03:00:00+0000,12.1,40.56667,-1.320827,1000.0
9377Y,2025-05-29T03:00:00+0000,11.0,40.77861,-1.568336,1185.0
9381I,2025-05-29T03:00:00+0000,11.2,40.926113,-1.293327,883.96
9390,2025-05-29T03:00:00+0000,11.9,41.114445,-1.41,774.33
9394X,2025-05-29T03:00:00+0000,14.5,41.33104,-1.645297,582.0
9427X,2025-05-29T03:00:00+0000,17.1,41.481113,-1.380829,370.0
9434,2025-05-29T03:00:00+0000,18.7,41.660557,-1.004167,249.0
9434P,2025-05-29T03:00:00+0000,18.7,41.621113,-0.934722,258.0
9436X,2025-05-29T03:00:00+0000,15.2,40.995373,-1.087365,1255.0
9445L,2025-05-29T03:00:00+0000,13.6,42.762405,-0.392704,1800.0
9451F,2025-05-29T03:00:00+0000,14.2,42.704445,-0.275278,1850.0
9453X,2025-05-29T03:00:00+0000,9.3,42.699238,-0.319003,1100.0
9460X,2025-05-29T03:00:00+0000,9.0,42.51278,-0.35556,775.0
9491X,2025-05-29T03:00:00+0000,13.0,42.029354,-0.585964,390.0
9495Y,2025-05-29T03:00:00+0000,11.8,41.796795,-0.617331,405.0
9501X,2025-05-29T03:00:00+0000,19.5,41.443134,-0.885947,535.0
9510X,2025-05-29T03:00:00+0000,16.8,41.429173,-0.503955,205.0
9513X,2025-05-29T03:00:00+0000,17.5,41.031216,-0.805655,800.0
9531Y,2025-05-29T03:00:00+0000,12.7,40.82861,-0.792778,895.0
9546B,2025-05-29T03:00:00+0000,19.7,41.171967,-0.441907,305.0
9550C,2025-05-29T03:00:00+0000,18.1,40.974358,-0.407693,762.0
9561X,2025-05-29T03:00:00+0000,18.3,40.798428,-0.315396,755.0
9562X,2025-05-29T03:00:00+0000,,40.621662,-0.101819,990.0
9569A,2025-05-29T03:00:00+0000,20.8,40.946556,-0.237653,466.0
9573X,2025-05-29T03:00:00+0000,16.3,41.058037,-0.141596,334.0
9574B,2025-05-29T03:00:00+0000,19.7,41.2425,-0.068611,215.0
9585,2025-05-29T03:00:00+0000,10.0,42.3325,1.939446,1699.12
9590,2025-05-29T03:00:00+0000,9.1,42.362118,1.693256,1038.0
9590D,2025-05-29T03:00:00+0000,10.6,42.43028,1.6675,1940.0
9632X,2025-05-29T03:00:00+0000,10.1,42.230274,1.569443,1196.0
9638D,2025-05-29T03:00:00+0000,12.3,42.15445,1.311946,609.0
9647X,2025-05-29T03:00:00+0000,11.5,41.805836,1.395552,435.0
9650X,2025-05-29T03:00:00+0000,15.0,41.88139,1.108615,400.0
9657X,2025-05-29T03:00:00+0000,9.8,42.62511,1.126203,952.0
9677,2025-05-29T03:00:00+0000,8.6,42.410007,1.214647,2410.0
9689X,2025-05-29T03:00:00+0000,13.0,42.466385,0.990837,1273.0
9698U,2025-05-29T03:00:00+0000,16.2,42.204723,0.864722,807.0
9707,2025-05-29T03:00:00+0000,13.6,42.06694,0.907217,515.0
9718X,2025-05-29T03:00:00+0000,15.8,41.68111,1.223051,463.0
9724X,2025-05-29T03:00:00+0000,14.4,41.873333,0.756111,520.0
9726E,2025-05-29T03:00:00+0000,8.1,41.55722,1.309439,657.0
9729X,2025-05-29T03:00:00+0000,15.0,41.616943,0.866659,252.0
9744B,2025-05-29T03:00:00+0000,7.6,42.50333,0.798893,1089.0
9751,2025-05-29T03:00:00+0000,14.1,42.31861,0.746943,760.0
9756X,2025-05-29T03:00:00+0000,13.7,42.1125,0.479998,765.0
9771C,2025-05-29T03:00:00+0000,16.4,41.626106,0.598058,185.83
9772X,2025-05-29T03:00:00+0000,17.2,41.366116,0.913608,673.0
9775X,2025-05-29T03:00:00+0000,15.5,41.41361,0.67833,392.0
9784P,2025-05-29T03:00:00+0000,10.5,42.629967,0.224707,992.0
9808X,2025-05-29T03:00:00+0000,14.8,42.421665,0.138052,610.0
9812M,2025-05-29T03:00:00+0000,13.2,42.655342,-0.099133,1206.0
9814I,2025-05-29T03:00:00+0000,12.4,42.656113,-0.124444,1905.0
9814X,2025-05-29T03:00:00+0000,12.3,42.63759,-0.111944,1076.0
9838B,2025-05-29T03:00:00+0000,7.7,42.599445,0.520556,1120.0
9839V,2025-05-29T03:00:00+0000,10.6,42.555,0.543056,2374.4
9843A,2025-05-29T03:00:00+0000,11.5,42.476948,0.434167,825.0
9855E,2025-05-29T03:00:00+0000,12.5,42.20139,0.466105,600.0
9866C,2025-05-29T03:00:00+0000,13.5,42.02139,0.140556,305.0
9894Y,2025-05-29T03:00:00+0000,15.4,41.799297,-0.160778,300.0
9898,2025-05-29T03:00:00+0000,16.0,42.084557,-0.325555,546.0
9901X,2025-05-29T03:00:00+0000,,42.13889,-0.394996,463.0
9908X,2025-05-29T03:00:00+0000,15.3,41.77389,-0.333059,380.0
9911X,2025-05-29T03:00:00+0000,16.2,41.619446,0.187782,178.0
9918Y,2025-05-29T03:00:00+0000,12.8,41.780834,0.376949,218.0
9924X,2025-05-29T03:00:00+0000,17.7,41.52472,0.355555,170.0
9935X,2025-05-29T03:00:00+0000,11.0,40.873337,0.146389,483.0
9946X,2025-05-29T03:00:00+0000,19.4,40.953056,0.311668,495.0
9947X,2025-05-29T03:00:00+0000,19.1,41.17722,0.353329,370.0
